,PCA1,PCA2,PCA3
WT_6m0j,5615.964604795085,858.5903552844254,-537.4928660656076
alpha_6m0j,9004.4777007606,363.42320350288446,542.4503589147777
beta_6m0j,-2524.015957552607,-1457.4491897965502,-161.27594666365346
gamma_6m0j,1780.402463039784,-1927.0978410818923,625.8572197529694
delta_6m0j,-5346.875968015907,1437.5246932783157,98.491237003737
deltaplus_6m0j,89.46392681724885,2670.2379071048103,-1364.555790475225
epsilon_6m0j,2937.1802820601692,-511.6324296616242,-419.4561541640251
lambda_6m0j,-1806.2066154111671,730.4905467875996,-342.9173291692378
mu_6m0j,-538.2710133663918,-735.0556046380763,658.5657146984826
WT_7a91,918.6334179512255,-2236.133225241017,-751.058949350951
alpha_7a91,-3563.2228761242777,707.491935787691,-846.9921612858759
beta_7a91,-10548.310601559508,-3818.6992314194354,-2232.999841166326
gamma_7a91,14082.064197923339,121.43043375219071,558.2459182437229
delta_7a91,3025.7488444878954,-949.8879388628559,30.50478552065526
deltaplus_7a91,-9112.175236494675,-1683.354548046472,2193.857535019972
epsilon_7a91,8283.39398078364,-1937.4509297816464,772.6249637410899
lambda_7a91,973.9429332148337,297.5548707103147,371.3519955429916
mu_7a91,1031.149050965274,1020.229175771562,-412.5056062490869
alpha_7mjn,-3018.9109733387886,3962.2435134122534,-728.5647248657955
beta_7v80,402.7109756556914,2056.8151176276015,-511.28514681580555
gamma_7v84,-1273.3132244149265,-1288.1651736738168,179.62819641303466
delta_7v8b,-10413.829912176543,2318.8943591837333,2277.526591420157
