,PCA1,PCA2,PCA3
WT_6m0j,245.37724804388566,-121.12457507085408,-49.910248089412576
alpha_6m0j,-60.15420755799028,75.1269395506118,-18.03030811035222
beta_6m0j,191.23777667040545,109.1902900435865,-53.10587398511729
gamma_6m0j,280.6366120285062,-41.3533943957143,14.651316090392001
delta_6m0j,398.906651967787,-42.121737056530044,65.41999498883129
deltaplus_6m0j,-126.00267495974155,145.68326573996683,41.83793484480048
epsilon_6m0j,17.80015762019273,5.559837061942738,-69.44898677420818
lambda_6m0j,-50.272488769604074,64.45787393447368,46.76225177978066
mu_6m0j,-93.77403145615054,-138.31304967110304,148.6408115876994
WT_7a91,-201.738566705931,14.474055148791795,10.659600332079552
alpha_7a91,55.20478640665721,91.59886923701588,-102.04464669149237
beta_7a91,-59.344054073861685,-42.38216619705014,-22.79496663256196
gamma_7a91,-118.68587349502374,-6.050408541198563,-135.26654386231644
delta_7a91,6.710827352510393,48.63618958237765,-77.83629475928221
deltaplus_7a91,151.83862809185058,102.75271403997678,81.3524225249427
epsilon_7a91,-310.46606875314745,-89.03497322481688,6.565953693985079
lambda_7a91,-205.17729872650995,-177.95273348932778,-85.14961851630197
mu_7a91,89.33214171366,-18.600032224813525,-66.35387236549224
alpha_7mjn,221.53341001060403,-26.94318297762569,34.320054275626184
beta_7v80,-261.1019294054443,197.56138587110976,71.47380843815061
gamma_7v84,55.53178278785223,-36.466822602748415,106.01691339938316
delta_7v8b,-227.39282879050714,-114.69834475807089,52.24029783086635
