,PCA1,PCA2,PCA3
WT_6m0j,7.392493858711166,-0.987854582078204,0.1746112510384473
alpha_6m0j,-3.7631373905024685,0.8327532875932219,0.12884769103839447
beta_6m0j,-2.8916816556735516,1.9560945540942964,0.4579570947813177
gamma_6m0j,-1.4904855028361057,0.46735001156944267,0.08256439099276341
delta_6m0j,2.61830441310876,-0.38386839247858556,0.6685112278459638
deltaplus_6m0j,5.879642186888798,1.2752334453125915,-0.6277425945776481
epsilon_6m0j,2.1134138934604922,-1.296205496132004,-0.8109287997323207
lambda_6m0j,-2.14485418764466,-1.4094005906334262,0.24635834419371563
mu_6m0j,-3.173014251812235,-0.9928752880125447,0.12554478818441822
WT_7a91,-2.278298610101564,-1.817604018719576,0.23120444622930517
alpha_7a91,-0.47314406243083335,0.9259692380614187,0.362445032841241
beta_7a91,-4.454881228188092,1.9697598216826606,-0.22220322532460518
gamma_7a91,-1.9713830965320018,1.1344126763822093,-0.7729425862876933
delta_7a91,0.19075847863433099,-1.3710362956772053,0.23170805823263324
deltaplus_7a91,10.83626155025212,0.808246923831135,-0.2903617470402799
epsilon_7a91,-4.656495163722048,0.4908934502673808,-0.13441082736273235
lambda_7a91,-6.086566431176637,-0.8440672653668474,-0.02233828841785544
mu_7a91,-1.271592691281557,-1.5362184465159,-0.5893367316236916
alpha_7mjn,6.8904092211854575,0.41758136028775505,0.8111145580124656
beta_7v80,-2.188518555171172,1.0082741204147732,0.25027278369936107
gamma_7v84,1.7884605913093565,-0.13635879060914494,-0.1143725011711848
delta_7v8b,-0.8656913664775603,-0.5110797232734502,-0.1865023655520131
